Num,ROI,ROIshort,Bigpart,score
293,Internal_Capsule,ic,Right,0.6810627880541725
324,Red_Nucleus_Magnocellular,RMC,Right,0.6354506323970653
220,Parasubiculum,PaS,Right,0.614832452532641
253,Cuneiform_Nucleus,Cn,Right,0.6117980444648776
250,Red_Nucleus_Parvicellular,RPC,Right,0.6089992233705849
240,Latero_Dorsal_Nucleus_of_Thalamus,LDNT,Right,0.6011788168282902
236,Anterior_Pretectal_Nucleus,APT,Right,0.594136029446057
73,Ventral_Thalamic_Nuclei,VT,Left,0.5881594776823873
247,Superior_Colliculus,SC,Right,0.5834945310266102
241,Medial_Geniculate_Nucleus,MGN,Right,0.5815138242854444
134,Lateral_Lemniscus,ll,Left,0.5813538720182991
127,Internal_Capsule,ic,Left,0.5805736308675378
251,Midbrain_Reticular_Nucleus,MRN,Right,0.5734342103990535
239,Ventral_Thalamic_Nuclei,VT,Right,0.5664668719405088
243,Zona_Incerta,ZI,Right,0.5659776220531748
228,Septum,SPT,Right,0.5636067314671924
330,Prerubral_Forel,PR_p3Tg_L,Right,0.5627683352955956
85,Midbrain_Reticular_Nucleus,MRN,Left,0.5622256650871019
292,Ventral_Hippocampal_Commissure,vhc,Right,0.5574466335909624
202,Primary_Visual_Cortex_Binocular_Area,V1B,Right,0.5572759291357169
62,Septum,SPT,Left,0.5568087547282528
244,Reticular_Nucleus_of_Thalamus,RTN,Right,0.5559785990423358
238,Thalamus_Rest,Thal_R,Right,0.5495095999023083
300,Lateral_Lemniscus,ll,Right,0.5444536158824372
151,Postsubiculum,Post,Left,0.54358771893276
107,Dorsal_Tegmentum,DTg,Left,0.5424922907240458
246,Deep_Mesencephalic_Nuclei,DpMe,Right,0.541620007242946
308,Medial_Lemniscus,ml,Right,0.5399975831264151
286,Fimbria,fi,Right,0.5386623770376011
33,Secondary_Somatosensory_Cortex,S2,Left,0.5358436756677137
96,Ventral_Lateral_Lemniscus_Nucleus,Vll,Left,0.5358245429851126
174,Cingulate_Cortex_Area_30,A30,Right,0.5342187499266332
72,Thalamus_Rest,Thal_R,Left,0.5312032050550077
329,PosteriorDorsal_ParaventricularMedialParvicellular_Posterior_LateralHypothalamus,PHD_PaMP_Post_and_LatHy,Right,0.5307205462947433
326,Retro_Rubral_Field,RR,Right,0.5299157305680272
248,Inferior_Colliculus,IC,Right,0.5278058869902063
163,PosteriorDorsal_ParaventricularMedialParvicellular_Posterior_LateralHypothalamus,PHD_PaMP_Post_and_LatHy,Left,0.5247425153111854
254,Precuneiform_Nucleus,PrCn,Right,0.52047119714365
155,Latero_Dorsal_Thalamic_Nucleus_Ventro_Lateral,LDVL,Left,0.5202999402308532
109,Cochlear_Nucleus,CoN,Left,0.5182471027113045
204,Secondary_Visual_CortexLateral_Area,V2L,Right,0.5099858505419984
287,Corpus_Callosum,cc,Right,0.5084019206179802
153,Microcellular_Tegmental_Nucleus,MiTg,Left,0.4917323783136293
235,Periaquaductal_Grey,PAG,Right,0.4852294817826285
273,Dorsal_Tegmentum,DTg,Right,0.48088247292293335
291,Lateral_Olfactory_Tract,lo,Right,0.453613783804084
