Num,ROI,ROIshort,Bigpart,score
160,Retro_Rubral_Field,RR,Left,0.6521205131665295
240,Latero_Dorsal_Nucleus_of_Thalamus,LDNT,Right,0.6204831811983705
197,Primary_Somatosensory_Cortex_Trunk_Region,S1Tr,Right,0.6054720086571748
134,Lateral_Lemniscus,ll,Left,0.6009571083976645
189,Parietal_Cortex_Posterior_Area_Rostral_Part,PtPR,Right,0.583629490447295
264,Parabrachial_Medial_Nucleus_and_Koelliker_Fuse_Nucleus,KF,Right,0.5721263064143763
209,Dorsal_Intermediate_Entorhinal_Cortex,DIEnt,Right,0.5705508414656534
257,Cerebellar_Cortex,Cb_1_10,Right,0.567517211067829
201,Primary_Visual_Cortex,V1,Right,0.5563692077182988
174,Cingulate_Cortex_Area_30,A30,Right,0.5481902378667698
247,Superior_Colliculus,SC,Right,0.5339049921885778
154,Pretectal_Nucleus,PT,Left,0.5267692147257119
292,Ventral_Hippocampal_Commissure,vhc,Right,0.5148035585862887
300,Lateral_Lemniscus,ll,Right,0.5106265207774761
