Num,ROI,ROIshort,Bigpart,score
293,Internal_Capsule,ic,Right,0.7182869153896978
220,Parasubiculum,PaS,Right,0.6860900088687641
250,Red_Nucleus_Parvicellular,RPC,Right,0.6535820214992915
324,Red_Nucleus_Magnocellular,RMC,Right,0.6121771197039351
73,Ventral_Thalamic_Nuclei,VT,Left,0.5998878085853077
183,Lateral_Orbital_Cortex,LO,Right,0.597118593992079
127,Internal_Capsule,ic,Left,0.59113077434054
33,Secondary_Somatosensory_Cortex,S2,Left,0.5850507139722216
243,Zona_Incerta,ZI,Right,0.574268897038743
96,Ventral_Lateral_Lemniscus_Nucleus,Vll,Left,0.5624563122615828
228,Septum,SPT,Right,0.5487886482771777
54,Parasubiculum,PaS,Left,0.5477785703347415
238,Thalamus_Rest,Thal_R,Right,0.5473691395145003
244,Reticular_Nucleus_of_Thalamus,RTN,Right,0.5431848623275622
253,Cuneiform_Nucleus,Cn,Right,0.5271194719034085
308,Medial_Lemniscus,ml,Right,0.5203915549646134
72,Thalamus_Rest,Thal_R,Left,0.5167440575436958
