Test,Animal,Treatment,APOE,Sex,Code,Stage,Trial,Apparatus,Date,Duration,Distance,Mean.speed,NE:time,NE:distance,NE:averagespeed,NW:time,NW:distance,NW:averagespeed,SE:time,SE:distance,SE:averagespeed,SW:time,SW:distance,SW.averagespeed,Island : distance to first entry,Island : latency to first entry,Thigmitaxis : time,Thigmitaxis : distance,Thigmitaxis : average speed,Diet,NormSWTime,NormSWDist,Winding,Age.months,Age
1,061019_1,APOE44_males,E44,M,A,Day1,1,MWM_150,6/10/2019,54.1,11.929,0.22,0,0,,0.7,0.939,1.26,21.2,4.116,0.194,32.1,6.874,0.214,11.858,52,24.1,5.446,0.226,Control,0.593345656,0.57624277,21.24383346,13.97,12
10,061019_1,APOE44_males,E44,M,A,Day1,2,MWM_150,6/10/2019,60,13.401,0.223,25.1,5.398,0.215,12.4,2.751,0.222,15.2,3.611,0.237,6.4,1.51,0.234,,,39.5,8.687,0.22,Control,0.106666667,0.11267816,15.13799538,13.97,12
19,061019_1,APOE44_males,E44,M,A,Day1,3,MWM_150,6/10/2019,60,9.78,0.163,23.2,3.669,0.158,18.7,2.443,0.131,14.3,2.916,0.204,3.6,0.666,0.185,,,37.3,5.097,0.137,Control,0.06,0.06809816,24.27168765,13.97,12
28,061019_1,APOE44_males,E44,M,A,Day1,4,MWM_150,6/10/2019,60,9.334,0.156,23.7,3.8,0.16,9.4,1.648,0.176,22.1,3.083,0.14,4.5,0.709,0.158,,,39.9,5.663,0.142,Control,0.075,0.07595886,24.66875184,13.97,12
37,061019_1,APOE44_males,E44,M,A,Day2,1,MWM_150,6/11/2019,26.3,2.946,0.112,17.7,1.395,0.079,0,0,,3.9,0.967,0.245,4.6,0.585,0.127,2.903,24.2,4.5,0.435,0.096,Control,0.174904943,0.19857434,13.15183830,13.97,12
46,061019_1,APOE44_males,E44,M,A,Day2,2,MWM_150,6/11/2019,7.3,1.544,0.211,0,0,,0,0,,1.9,0.771,0.408,5.4,0.773,0.142,1.419,5.3,1,0.257,0.26,Control,0.739726027,0.50064767,2.68790824,13.97,12
55,061019_1,APOE44_males,E44,M,A,Day2,3,MWM_150,6/11/2019,37.5,7.984,0.213,1.6,0.374,0.228,11.5,2.597,0.226,5.8,1.449,0.248,18.6,3.564,0.192,7.949,35.5,8.1,1.636,0.201,Control,0.496,0.44639279,13.61374326,13.97,12
64,061019_1,APOE44_males,E44,M,A,Day2,4,MWM_150,6/11/2019,37.1,6.981,0.188,15,3.133,0.209,19.8,3.665,0.185,0,0,,2.3,0.183,0.08,6.94,35,9.2,1.438,0.156,Control,0.061994609,0.02621401,11.45240432,13.97,12
73,061019_1,APOE44_males,E44,M,A,Day3,1,MWM_150,6/12/2019,51.6,8.957,0.173,12.9,2.371,0.184,20.7,3.771,0.182,4.4,0.994,0.228,13.6,1.82,0.133,8.921,49.5,19.3,3.183,0.165,Control,0.263565891,0.20319303,19.78104314,13.97,12
82,061019_1,APOE44_males,E44,M,A,Day3,2,MWM_150,6/12/2019,25.7,5.244,0.204,7.5,1.458,0.193,11.2,2.459,0.22,2.8,0.795,0.287,4.2,0.533,0.127,5.169,23.6,1.6,0.23,0.146,Control,0.163424125,0.10163997,7.50976952,13.97,12
91,061019_1,APOE44_males,E44,M,A,Day3,3,MWM_150,6/12/2019,21,2.29,0.109,0,0,,2.7,0.356,0.129,6.4,0.65,0.102,11.8,1.285,0.109,2.239,18.9,0,0,,Control,0.561904762,0.56113537,18.74375610,13.97,12
100,061019_1,APOE44_males,E44,M,A,Day3,4,MWM_150,6/12/2019,50.3,9.302,0.185,2.9,0.622,0.218,19.4,3.53,0.182,2.3,0.471,0.207,25.7,4.679,0.182,9.265,48.2,2.9,0.513,0.18,Control,0.510934394,0.50301011,22.21164037,13.97,12
118,061019_1,APOE44_males,E44,M,A,Day4,1,MWM_150,6/13/2019,6.6,0,0,0,0,,0,0,,0,0,,6.6,0,0,,,6.6,0,0,Control,1,#DIV/0!,3.12308256,13.97,12
127,061019_1,APOE44_males,E44,M,A,Day4,2,MWM_150,6/13/2019,27.2,22.105,0.812,0.5,0.113,0.21,4.1,4.935,1.201,11,10.139,0.924,11.6,6.918,0.596,22.067,25.2,0.5,0.208,0.452,Control,0.426470588,0.31296087,23.54902345,13.97,12
136,061019_1,APOE44_males,E44,M,A,Day4,3,MWM_150,6/13/2019,13.6,1.715,0.126,0,0,,5,0.912,0.181,0,0,,8.6,0.803,0.093,1.673,11.5,0,0,,Control,0.632352941,0.46822157,7.41833787,13.97,12
145,061019_1,APOE44_males,E44,M,A,Day4,4,MWM_150,6/13/2019,18.2,7.919,0.435,7.3,3.238,0.441,2.7,0.692,0.257,4,1.428,0.359,4.2,2.561,0.615,7.844,16.1,0.5,1.413,3.059,Control,0.230769231,0.32339942,8.37543202,13.97,12
